ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600519.SH,20250527,1551.0,1558.6,1543.51,1543.9,1550.5,-6.6,-0.4257,17752.13,2748945.675
600519.SH,20250526,1570.0,1574.63,1545.0,1550.5,1572.6,-22.1,-1.4053,27086.53,4212944.43
600519.SH,20250523,1575.2,1587.9,1571.66,1572.6,1580.0,-7.4,-0.4684,21537.0,3399424.961
600519.SH,20250522,1580.99,1584.99,1570.1,1580.0,1580.97,-0.97,-0.0614,15090.24,2381236.586
600519.SH,20250521,1585.0,1595.94,1580.97,1580.97,1586.0,-5.03,-0.3172,19794.64,3143941.416
600519.SH,20250520,1580.0,1594.8,1575.1,1586.0,1578.98,7.02,0.4446,19521.53,3095742.637
600519.SH,20250519,1596.0,1600.0,1573.88,1578.98,1614.13,-35.15,-2.1776,38062.83,6021950.01
600519.SH,20250516,1633.99,1636.99,1614.13,1614.13,1632.01,-17.88,-1.0956,22935.22,3714508.659
600519.SH,20250515,1634.8,1643.59,1624.13,1632.01,1634.99,-2.98,-0.1823,24732.85,4043402.636
600519.SH,20250514,1590.0,1645.0,1588.18,1634.99,1590.3,44.69,2.8102,39460.12,6394735.058
600519.SH,20250513,1608.92,1608.92,1585.11,1590.3,1604.5,-14.2,-0.885,21258.29,3386617.848
600519.SH,20250512,1598.0,1618.93,1596.61,1604.5,1591.18,13.32,0.8371,24735.33,3967785.8
600519.SH,20250509,1578.99,1597.45,1575.05,1591.18,1578.19,12.99,0.8231,23671.9,3757574.546
600519.SH,20250508,1553.0,1592.78,1549.83,1578.19,1555.0,23.19,1.4913,33481.06,5265446.444
600519.SH,20250507,1570.0,1570.0,1550.2,1555.0,1550.2,4.8,0.3096,27462.21,4275142.569
600519.SH,20250506,1559.0,1559.0,1544.33,1550.2,1547.0,3.2,0.2069,18300.26,2838614.215
600519.SH,20250430,1549.99,1566.66,1546.3,1547.0,1544.0,3.0,0.1943,25754.25,4005439.429
600519.SH,20250429,1550.0,1552.54,1532.02,1544.0,1550.0,-6.0,-0.3871,18921.8,2917422.938
600519.SH,20250428,1552.0,1555.0,1546.6,1550.0,1550.0,0.0,0.0,14659.72,2274252.465
600519.SH,20250425,1557.1,1561.2,1550.0,1550.0,1552.25,-2.25,-0.145,14764.9,2295029.705
600519.SH,20250424,1552.0,1560.68,1548.98,1552.25,1552.0,0.25,0.0161,14871.81,2313372.072
600519.SH,20250423,1559.0,1559.22,1545.0,1552.0,1548.8,3.2,0.2066,18668.76,2895468.892
600519.SH,20250422,1550.0,1556.3,1543.21,1548.8,1551.0,-2.2,-0.1418,18432.14,2857525.967
600519.SH,20250421,1565.5,1565.5,1551.0,1551.0,1565.94,-14.94,-0.9541,18057.03,2808158.177
600519.SH,20250418,1566.0,1575.0,1556.0,1565.94,1570.0,-4.06,-0.2586,20298.48,3179974.34
600519.SH,20250417,1554.0,1576.5,1549.99,1570.0,1559.17,10.83,0.6946,23846.05,3733924.973
600519.SH,20250416,1552.0,1576.0,1537.0,1559.17,1558.0,1.17,0.0751,31156.05,4834880.596
600519.SH,20250415,1552.0,1565.0,1545.0,1558.0,1551.99,6.01,0.3872,21489.28,3339942.729
600519.SH,20250414,1560.97,1566.0,1551.53,1551.99,1568.98,-16.99,-1.0829,21711.44,3379425.64
600519.SH,20250411,1579.97,1579.97,1545.0,1568.98,1549.0,19.98,1.2899,32634.23,5087359.924
600519.SH,20250410,1550.99,1555.0,1528.0,1549.0,1541.04,7.96,0.5165,38620.21,5963650.791
600519.SH,20250409,1525.02,1556.8,1520.55,1541.04,1545.0,-3.96,-0.2563,55630.04,8562928.225
600519.SH,20250408,1513.0,1545.0,1495.0,1545.0,1500.0,45.0,3.0,73876.49,11226977.557
600519.SH,20250407,1520.01,1536.85,1462.0,1500.0,1568.88,-68.88,-4.3904,101952.67,15314738.235
600519.SH,20250403,1530.0,1586.0,1529.01,1568.88,1549.02,19.86,1.2821,35480.5,5557442.052
600519.SH,20250402,1558.0,1567.8,1545.5,1549.02,1556.02,-7.0,-0.4499,21674.01,3371883.024
600519.SH,20250401,1564.0,1569.89,1552.21,1556.02,1561.0,-4.98,-0.319,18556.44,2893739.955
600519.SH,20250331,1580.98,1586.96,1560.06,1561.0,1585.21,-24.21,-1.5272,21084.94,3311857.714
600519.SH,20250328,1590.93,1593.0,1576.0,1585.21,1589.0,-3.79,-0.2385,16227.89,2569470.015
600519.SH,20250327,1576.0,1598.25,1573.38,1589.0,1576.0,13.0,0.8249,17955.63,2848889.21
600519.SH,20250326,1572.77,1582.58,1571.0,1576.0,1575.5,0.5,0.0317,14323.56,2257639.75
600519.SH,20250325,1588.0,1592.8,1566.66,1575.5,1583.0,-7.5,-0.4738,17674.38,2783286.813
600519.SH,20250324,1570.0,1589.66,1562.38,1583.0,1573.75,9.25,0.5878,25565.85,4032223.482
600519.SH,20250321,1599.0,1612.2,1568.83,1573.75,1604.0,-30.25,-1.8859,33614.3,5324973.19
600519.SH,20250320,1635.71,1637.6,1595.07,1604.0,1635.71,-31.71,-1.9386,36736.77,5903879.207
600519.SH,20250319,1624.29,1648.0,1623.0,1635.71,1624.0,11.71,0.7211,27389.55,4477128.77
600519.SH,20250318,1645.04,1652.0,1621.7,1624.0,1637.86,-13.86,-0.8462,31613.45,5153210.436
600519.SH,20250317,1657.0,1657.99,1626.88,1637.86,1628.01,9.85,0.605,54689.13,8985138.902
600519.SH,20250314,1547.66,1628.01,1541.0,1628.01,1537.77,90.24,5.8682,92913.15,14882842.708
600519.SH,20250313,1544.0,1555.5,1530.88,1537.77,1542.58,-4.81,-0.3118,25724.39,3966369.271
600519.SH,20250312,1546.96,1549.68,1526.35,1542.58,1548.68,-6.1,-0.3939,29603.96,4552923.644
600519.SH,20250311,1517.0,1548.68,1512.0,1548.68,1522.9,25.78,1.6928,39775.6,6094007.854
600519.SH,20250310,1519.81,1526.88,1506.14,1522.9,1521.0,1.9,0.1249,31369.07,4758789.26
600519.SH,20250307,1503.0,1528.36,1503.0,1521.0,1505.98,15.02,0.9974,37991.35,5760608.729
600519.SH,20250306,1474.0,1510.2,1472.08,1505.98,1466.37,39.61,2.7012,42167.64,6297117.4
600519.SH,20250305,1472.0,1474.0,1460.1,1466.37,1470.11,-3.74,-0.2544,24605.22,3606932.152
600519.SH,20250304,1485.0,1486.0,1465.21,1470.11,1487.02,-16.91,-1.1372,25211.21,3710675.863
600519.SH,20250303,1502.6,1520.99,1481.5,1487.02,1500.79,-13.77,-0.9175,31595.66,4736679.903
600519.SH,20250228,1485.5,1528.38,1482.0,1500.79,1485.56,15.23,1.0252,56128.95,8475738.166
600519.SH,20250227,1460.02,1489.9,1454.0,1485.56,1460.01,25.55,1.75,49762.17,7368002.361
600519.SH,20250226,1455.45,1464.96,1445.0,1460.01,1454.0,6.01,0.4133,26366.09,3835949.041
600519.SH,20250225,1470.01,1473.39,1452.0,1454.0,1479.07,-25.07,-1.695,28387.43,4142814.459
600519.SH,20250224,1488.0,1499.52,1474.0,1479.07,1488.21,-9.14,-0.6142,34743.73,5157907.322
600519.SH,20250221,1480.0,1496.73,1473.01,1488.21,1474.0,14.21,0.964,36417.83,5418169.587
600519.SH,20250220,1483.0,1491.97,1473.39,1474.0,1491.0,-17.0,-1.1402,23749.73,3513552.984
600519.SH,20250219,1475.05,1494.44,1464.9,1491.0,1475.0,16.0,1.0847,32393.31,4803378.441
600519.SH,20250218,1470.0,1492.99,1462.08,1475.0,1471.62,3.38,0.2297,27799.92,4113845.397
600519.SH,20250217,1481.0,1494.98,1467.1,1471.62,1475.0,-3.38,-0.2292,32470.59,4804663.813
